addr,first_tx,funder,funder_date,fund_eth,ntx_first25,cotoken_linked
0x8c59c1c37768578d1fffd63ed893ce22238dc98a,2018-08-16,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-16,0.095,25,True
0x7fa21972a4d2073fd27e1d625dbd3bcf9fdc34c3,2018-08-06,0xc837f51a0efa33f8eca03570e3d01a4b2cf97ffd,2018-08-06,0.4987,11,False
0xd63f69411095d7b8319d00ea4a373fc99677d7a8,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,3.995,25,False
0x21967a1d61eae75d8b7eb681eb29796206867e48,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,0.995,22,False
0xe66425233dc1c7029f4f48c5671b6bf9dcb3434b,2018-08-09,0x3ff0269afcb45b6fb3089224353ee6a4d4cb1232,2018-08-09,1.2,8,False
0x1c969121c205dfb2bc47cecae86e17b473cb4169,2018-08-05,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-05,0.495,11,False
0x757e49f29965a440316d843df66dcfef2c5cc50f,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.39298,17,False
0xd07b562222d2a87789cc6316fde2228e8d594e52,2018-08-09,0x9e773481a8e2ea9baa06edbca1981ea15e49f093,2018-08-09,1.0,8,False
0xe9d160ed48db8595bf7c2919a890cb73ce813e5b,2018-08-06,0x956e0dbecc0e873d34a5e39b25f364b2ca036730,2018-08-06,0.98302,25,False
0x8039642b57d45cc0abd99a43a87d4e71d209dcd6,2018-08-08,0x76093a97a08c6ed375feee14da35b465f6229cb2,2018-08-08,1.0,19,False
0x16de31fc48ef4c30d18229f518f2e87964ba74ab,2018-08-08,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-08,0.57776,12,False
0xc3dba72fce8a934d35c6af5911bd4cf3ea9953c7,2018-11-05,0xa6835d893ca09c5e53ec67c6f638a0e235bb2560,2018-11-05,0.06,25,True
0xade98efdbefc0a50f8673aee332355c9fe3d81f5,2018-11-06,0x33f28ffb75827678cdd6095f29978cf0858670b8,2018-11-06,0.01,25,True
0x282d75e64ae6c0e4710cf597b914c9db78fec770,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,3.08019,25,False
0x6a0ffe0e13714c02d242696a30ada2674b541ae7,2018-08-07,0xc68ffd089740a74e990d83a772ebd5e32918221f,2018-08-07,0.02,19,False
0x2ec3897eacaf5ca9a3c3ff11d1ac9dcabadf3806,2018-08-12,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-12,0.205,8,False
0xa62eab4076b47eb8036d5daedb9f4b0b77cd243e,2018-11-05,0x5e02262d232fc6a6d22661b84152feb7d2a294f5,2018-11-05,0.02,24,True
0x9279cc2e974b819064ed1d9e27235f290a16f17b,2018-08-08,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,2018-08-08,0.29527,11,False
0x3f0381dccc4c05469e46329adfc0759607b7ed2d,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.095,7,False
0xadb4c78c6a8791ee33d8ff6a48e48f0fb810b23a,2018-11-17,0xeec606a66edb6f497662ea31b5eb1610da87ab5f,2018-11-17,0.195,12,False
0x8a417544ad1cf7f7cea5d2fc292018e53dd17488,2018-08-11,0x6958c3fde1463526b37efde6d36d07bcf2a8d561,2018-08-11,5.0,13,False
0xab6645a6adc2d159839f819e8e5696ca156ebbba,2018-11-04,0x2beb21138760022d76b165ce3d01be4489d67dbc,2018-11-04,0.01,21,True
0x1ee62be630ad550f8207cb11636c5001195d7410,2018-08-06,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,2018-08-06,0.995,25,False
0x926b7a8087bf6ac0763683cfc8fd4d8d3a2e0220,2018-06-19,0x6ee6c4beb735a1d07d30fb58ca52a07462b2dde6,2018-06-19,0.1,25,False
0x4516f1646b8a72a0d3af31e9505dfcf921b839fe,2018-07-25,0xc837f51a0efa33f8eca03570e3d01a4b2cf97ffd,2018-07-25,0.015,16,False
